"Periodo","edad_mayor","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
1970,"entre65y79",2703883.47,1142419.51,1561463.96,8.03803471691077,3.39615511709023,4.64187959982054
1970,"mas80",510635.91,174203.71,336432.2,1.51800520171135,0.517868275142292,1.00013692656905
1971,"entre65y79",2785694,1181057,1604637,8.20591704463143,3.47908125120033,4.7268357934311
1971,"mas80",528379.93,179868.22,348511.71,1.55646739147522,0.529844158147132,1.02662323332808
1972,"entre65y79",2860934.87,1210581.64,1650353.23,8.33588461351874,3.52726270426572,4.80862190925303
1972,"mas80",534738.68,181059.69,353678.99,1.55806410750809,0.527552269653546,1.03051183785454
1973,"entre65y79",2937625.34,1244586.22,1693039.12,8.463181485955,3.58560328008973,4.87757820586526
1973,"mas80",553042.54,186707.52,366335.02,1.59329350878813,0.537896921379556,1.05539658740857
1974,"entre65y79",3015033.6,1278804.55,1736229.05,8.59305556473634,3.6446819546514,4.94837361008494
1974,"mas80",563627.66,189909.46,373718.2,1.60637805170806,0.541255176077996,1.06512287563006
1975,"entre65y79",3088064.64,1310413.5,1777651.17,8.70330076724625,3.69322671301331,5.01007413878396
1975,"mas80",578831.37,194610.29,384221.13,1.6313594739478,0.548483300618673,1.0828763142475
1976,"entre65y79",3151617.81,1333642.57,1817975.24,8.76717458020065,3.7099286600292,5.05724592017145
1976,"mas80",595331,199380,395951,1.65609256092046,0.554635546941653,1.10145701397881
1977,"entre65y79",3216904.01,1360602.79,1856301.22,8.85431536532642,3.74496912315484,5.10934624217157
1977,"mas80",621045,208250,412795,1.70938525643454,0.573194341235325,1.13619091519921
1978,"entre65y79",3300871.09,1393819.05,1907052.04,8.99520238018568,3.79829569051972,5.19690668966595
1978,"mas80",639430,214276,425154,1.74251041653436,0.583923434955064,1.1585869815793
1979,"entre65y79",3375433.52,1423414.85,1952018.67,9.11390457759607,3.84331880345646,5.27058577413961
1979,"mas80",659959,221074,438885,1.78193506566994,0.596915130648899,1.18501993502104
1980,"entre65y79",3453315.38,1453486.18,1999829.2,9.24758857963764,3.89227183728268,5.35531674235496
1980,"mas80",682094,228952,453142,1.82657069816756,0.613107598786763,1.21346309938079
1981,"entre65y79",3503389.32,1475446.24,2027943.08,9.30725761224116,3.91973514627618,5.38752246596498
